change_id,observed_problem,generalizes_evidence,belongs_in,effect,keep_change
C-edition_title,"501 edition-title pattern games remain (3.41%) with modest systematic +0.116 resid, 2/39 strong edition-like but legit distinct SKUs (Sleeping Gods Kickstarter, CATAN 3D), 48/532 pool edition (9%) vs 40/163 niche 24.5% — leakage is semantic duplicate vs legit new edition","n=501 3.4%, mean resid +0.116, median +0.141, share top5 10.6% (2× expected), beta +0.123 SE 0.025 5/5 + CVΔ +0.0006, Jaccard 0.921, in_strong 2/39 5.1% ≈pop, niche 40/163 24.5% enriched — not concentrated in 39",eligibility/semantic cleanup + screening flag — NOT quality model (would be leakage),"Per-pattern with designer/year/weight corroboration (≥50 gate+corroboration pass >50%) → add to pruned_lists; keep Q3bFam unchanged; flag edition_duplicate in screening niche vs strong; screening Jaccard 0.921 local (2→0) but both broad_support, so DROP as model",PROPOSED_CHANGE — add 5 patterns (Collector's/Ultimate/Kickstarter/Complete Collector/Essential) plus Second Edition/Anniversary/Deluxe where corroborated to pruned_lists; keep Q3bFam unchanged
C-edition_per_pattern,"Per-pattern counts: Collectors 21 +0.179, Ultimate 7 +0.485, Kickstarter 15 +0.428, Complete Collector 1 +1.266, Essential 3 +0.521, Second Edition 112 +0.201 5/5 Δ+0.0004, Anniversary 12 +0.140, Deluxe 35 +0.232 — all n<50 except Second Edition 112, none meet CV≥0.001 + belongs_in model","All per-pattern n<50 except Second Edition 112 (beta +0.204 SE 0.051 5/5 Δ+0.0004 Jaccard 0.973 <0.001) — systematic but legitimate new editions, not duplicates","screening/eligibility — per-pattern corroboration, not blanket 501",Only patterns with n≥50+corroboration pass + CV≥0.0005 enter pruned_lists; others stay screening only; Jaccard ~0.97–1.0 local,"PROPOSED per-pattern — test each, do not blanket-add 501"
C-game_system,"32 Admin: Game System Entries (Magic, Pokémon, Summoner Wars) 0.22% resid +0.162 median +0.152, 18.8% top5, 0/39 strong flagged but 32 remain in pop with elevated resid","n=32 <50 below gate, beta +0.166 SE 0.095 5/5 + but wide SE, fold SD 0.08 CV -0.0001 Jaccard 0.986 — too rare for additive dummy","eligibility/hiddenness — hard exclude (not hidden, like expansions)","Screening hard exclude via Admin: Game System Entries (already flagged, keep explicit); not Q3bFam","PROPOSED_KEEP — hard hiddenness exclude, NOT model"
C-base_title_dup,"Base-title completeness: 285 dup titles 611 games, 39 corroborated groups 96 games (designer overlap+year≤5+weight≤0.3), 87 not pruned but only 10 in 532 pool 0 in 39 strong, 11 truncated at 100 — not polluting strong","285 dup titles 611 games → 39 corroborated 96 games → 87 missed → 10 in pool 1.9% 0 in strong 0% — gap narrow, concentrated in niche, not 39",eligibility/semantic cleanup — NOT quality model,"Add base-title + designer/year/weight test as second-tier cleanup (stricter than title heuristic) to catch non-edition duplicates (e.g., A Dog's Life 2001 vs 2017); document truncation at 100 for 11 high-version games","PROPOSED_CLEANUP — implement base-title test, add 87 missed corroborated to pruned_lists sensitivity"
C-high_version,n_version ≥10 n=588 4.0% mean resid -0.007 (no signal) — version count truncated at 100,"n=588 -0.007 beta -0.012 SE 0.029 2/5 + CV -0.0001 Jaccard 1.0 — no systematic, already proxied via is_reimpl+log_n_impl in Q3bFam","lineage — no model, already proxied",No change,"NO_CHANGE — already proxied, no add"
C-series_any,"any Series: except 18xx n=3222 21.9% +0.066 <0.10 heterogeneous (Wallet +0.004 n=58, Unlock +0.217 n=47 <50, EXIT -0.099) — franchise popularity",n=3222 +0.066 beta +0.094 SE 0.011 5/5 + CV +0.0017 Jaccard 0.921 — <0.10 not systematic like 18XX +0.676,"screening check, NOT model — franchise, not omitted family","Keep as lineage screen, not fam; would confound franchise popularity with quality if added",NO_MODEL — keep as screening
C-game_family,any Game: family n=2740 18.6% +0.032 — franchise popularity not systematic,n=2740 +0.032 beta +0.046 5/5 CV +0.0004 Jaccard 0.921 — not systematic,screening,No model add,NO_MODEL
C-solo_mech,Solo / Solitaire mech n=1397 9.5% +0.011 — not systematic (already in Q4 mech block),n=1397 +0.011 beta +0.016 SE 0.018 5/5 + CV +0.0000 Jaccard 1.0 — <0.03 no signal,no change,No effect,NO_CHANGE — preserve
C-solo_first,"solo-first min1 max≤2 n=691 4.7% +0.127 (median +0.162) 5.8% top5, 4/39 strong 10.3% vs 4.7% pop — systematic but not 18XX bar",n=691 +0.127 beta +0.176 SE 0.024 5/5 + (+0.190 +0.174 +0.156 +0.177 +0.183) CV +0.0014 Jaccard 0.947 Spearman 0.997 — systematic & 5/5 & CV≥0.001 but <0.15 and Jaccard stable,audience-selection (new specialist metric + propensity covariate) — NOT quality model (leakage: design constraint into expected quality),"Add flag_solo_first as propensity covariate with player-eligible at-risk (≥10 solo_first ratings), new cross split solo_first_0-4_vs_ge10; keep Q3bFam unchanged (Jaccard 1.0 vs baseline if screening only)","PROPOSED_ADD to Step7, NOT Q3bFam — keep model 48f"
C-duel_1_2p,"1-2p max≤2 n=2555 17.4% +0.080 (median +0.110) 5.8% top5, 8/39 strong 20.5% vs 17.4% slight — systematic but broad, heterogeneous (solo_first 691 + wargame_duel 1153 + Euro 2p)","n=2555 +0.080 beta +0.201 SE 0.017 5/5 + (+0.203 +0.189 +0.198 +0.196 +0.217) CV +0.0038 (largest, vs 18XX +0.0046) Jaccard 0.814 (18% churn) — material local screening change, heterogeneous, r -0.70 with log_max","audience-selection + hiddenness, NOT quality model — broad 1-2p threshold already partially in log_max linear (-0.08), binary captures non-linear but is design not quality",Propensity covariate is_duel + player-eligible at-risk + interaction wargame_duel vs Euro duel; keep Q3bFam (joint solo+edition+system Δ+0.00197 < duel alone 0.0038 confirms overlap),"PROPOSED_ADD to Step7 propensity/cross, NOT Q3bFam"
C-wargame_duel,"Wargame & max≤2 n=1153 7.8% +0.074 — interaction audience structure, 0/39 strong under-represented vs 27/163 niche 16.6%","n=1153 +0.074 beta +0.204 SE 0.026 5/5 + CV +0.0017 Jaccard 0.947 — systematic but <0.10 before, would be leakage if added as fam (strong avoids it)",audience-selection (interaction),"Similar to duel/solo_first — audience interaction, not model","PROPOSED — as interaction in propensity, NOT model"
C-semi_coop,"Semi-Cooperative n=98 0.67% -0.252 (1% top5) systematic negative but n small (below 500 analogue, Jaccard 1.0)","n=98 -0.252 beta -0.258 SE 0.054 5/5 - CV +0.0006 Jaccard 1.0 — no global churn, n small",screening note (negative resid) — monitor,"CV small gain but n small, Jaccard 1.0 — no model add","MONITOR — not model, flag in screening as niche type"
C-hiddenness,Hiddenness <1700 / 1700-2500 / >2500 preserved unless strong reason; distinguish numerically obscure vs obscure within modern hobby vs well-known within ecosystem. Example: 1200-rating niche wargame that 80% of broad reference has rated hypothetical — not observed (max eligible wargame penetration 0.589%),"eligible 12186 82.9% mean pen 0.146% (all <1% max 0.58%), borderline 694 4.7% 0.724%, exclude 1818 12.4% 3.47% (17.7% >5% hobby) — no eligible exceeds 1%, so 1700 alone is sufficient; 0.5% > threshold only 2.95% of eligible",hiddenness — screening,"Preserve <1700 / 1700-2500 / >2500 as primary; add monitoring ref_penetration per game (per_game_hiddenness.csv) — flag hobby_well_known if >0.5% despite n<1700 (needs external validation, not hard exclude)",PRESERVE thresholds — no strong evidence to move 1700; add penetration as monitoring
C-reference_population,Need empirical reference population representing broadly engaged contemporary hobby gamers to ask: Does candidate's rater pool resemble broad modern hobby audience? Test alternatives top 100/250/500 bayes/users/adj + weight 2.0-3.5+year2010+ n>5k profile,"Tested 13 candidates: chosen intersect_250_bayes_users 134 games 279108 users median weight 2.94 year 2015 users 33913 (balances bayes+volume, covers 97% active, low-moderate selectivity); alternatives 100 too narrow 40 games, 500 too broad 327 games diminishing returns, profile 420 games 264k users but less established median 10k",broad modern-hobby appeal — reference for audience rework,"Define ref users distinct who rated ≥1 (sensitivity ≥5) of 134; compute per-game ref_penetration, TVD vs ref, cross via ref split",PROPOSED_CHANGE — adopt intersect_250_bayes_users as primary reference; keep alternatives as sensitivity
C-quality_preserve,Q3bFam 48f primary CV 0.6033 + Q4Fam 78f CV 0.6151 + 18XX +0.676→β+0.748 must remain unless real reason to change,"No new fam_* passes 18XX bar (≥0.15 +5/5+CV≥0.001+belongs_in model); duel largest CV +0.0038 but belongs in audience not model (r -0.70), solo_first +0.0014 but <0.15, others <0.10 or Δ<0.001 — joint Δ+0.00197 < duel alone 0.0038 overlap",quality — model,"Keep Q3bFam 48f unchanged as primary, Q4Fam as sensitivity; no fam added (otherwise leakage); Spearman ~1, Jaccard 1.0 preserved globally",PRESERVE — keep Q3bFam 48f + Q4Fam 78f + 18XX correction
