change_id,candidate_id,observed_problem,generalizes_evidence,belongs_in,effect,keep_change
C-edition_title,edition_title,"title contains edition/anniversary/deluxe/premium/heritage/big box/collector (heuristic) (n=501, mean_resid_Q3bFam +0.116 if n>0)","476 edition-title games remain in 14,698 after Pass-2 pruning (which removed 269). Of 39 strong, 2 have edition title? Actually 2-3 strong are Kickstarter/3D editions but not same game duplicate; combined_primary still leaks edition-like titles with inflated adj via shared audience. Mean resid +0.10 systematic but should be handled as semantic deduplication, not as quality expectation adjustment (otherwise would justify inflated ratings via dummy). | counts: 501 (3.41%), share_top5 10.6%, strong overlap 2/39 (5.1%) | CV ΔR² 0.0006 | Jaccard top1 0.921 top5 0.957 | beta 0.1229 SE 0.0245 folds +0.125 +0.119 +0.148 +0.127 +0.096",semantic cleanup (pruned_lists) + final screening (not model),"n=501, mean_resid +0.116, beta 0.1229, CV Δ 0.0006, Jaccard 0.921","PROPOSED_CLEANUP - add to pruned_lists rule, not quality model"
C-high_version,high_version,"n_version >=10 (many edition/version links) (n=588, mean_resid_Q3bFam -0.007 if n>0)","Version/reimpl counts show no systematic residual after current log_n_impl included (high_version mean_resid ~ -0.015). No model change; keep is_reimpl in model, version duplication handled via cleanup. | counts: 588 (4.0%), share_top5 2.6%, strong overlap 0/39 (0.0%) | CV ΔR² -0.0001 | Jaccard top1 1.0 top5 0.995 | beta -0.0121 SE 0.0286 folds +0.010 -0.005 -0.026 +0.001 -0.042",semantic cleanup / hiddenness (not model),"n=588, mean_resid -0.007, beta -0.0121, CV Δ -0.0001","NO_MODEL - version count already proxied via is_reimplementation + log_n_impl, handle via pruned_lists/exclude"
C-any_version,any_version,"n_version >=1 (any version link) (n=2220, mean_resid_Q3bFam +0.023 if n>0)","Version/reimpl counts show no systematic residual after current log_n_impl included (high_version mean_resid ~ -0.015). No model change; keep is_reimpl in model, version duplication handled via cleanup. | counts: 2220 (15.1%), share_top5 5.5%, strong overlap 1/39 (2.6%) | CV ΔR² 0.0002 | Jaccard top1 0.947 top5 0.96 | beta 0.0575 SE 0.0178 folds +0.052 +0.073 +0.055 +0.056 +0.050",semantic cleanup / hiddenness (not model),"n=2220, mean_resid +0.023, beta 0.0575, CV Δ 0.0002","NO_MODEL - version count already proxied via is_reimplementation + log_n_impl, handle via pruned_lists/exclude"
C-multi_reimpl,multi_reimpl,"reimplementation count >1 (multiple reimplementations) (n=257, mean_resid_Q3bFam -0.031 if n>0)","Version/reimpl counts show no systematic residual after current log_n_impl included (high_version mean_resid ~ -0.015). No model change; keep is_reimpl in model, version duplication handled via cleanup. | counts: 257 (1.75%), share_top5 4.3%, strong overlap 0/39 (0.0%) | CV ΔR² 0.0001 | Jaccard top1 0.973 top5 0.989 | beta -0.0965 SE 0.0581 folds -0.090 -0.081 -0.102 -0.102 -0.107",semantic cleanup / hiddenness (not model),"n=257, mean_resid -0.031, beta -0.0965, CV Δ 0.0001","NO_MODEL - version count already proxied via is_reimplementation + log_n_impl, handle via pruned_lists/exclude"
C-game_system,game_system,"Admin: Game System Entries family (collectible systems) (n=32, mean_resid_Q3bFam +0.162 if n>0)","Rare group n=32, systematic residual may exist but would overfit model; handle via screening/cleanup not additive dummy. | counts: 32 (0.22%), share_top5 18.8%, strong overlap 0/39 (0.0%) | CV ΔR² -0.0001 | Jaccard top1 0.986 top5 0.995 | beta 0.1656 SE 0.0951 folds +0.242 +0.072 +0.251 +0.126 +0.119","screening / semantic cleanup (n<50, too rare for model)","n=32<50, mean_resid +0.162, delta CV -0.0001 not applicable (below gate), Jaccard ~1","NO_MODEL - too rare for quality model, consider screening flag if lineage leak"
C-series_any,series_any,"any Series: family except 18xx (Wallet/Unlock/EXIT etc) (n=3222, mean_resid_Q3bFam +0.066 if n>0)","Series/game families show mixed residuals (e.g., series_any n maybe 400, mean resid ~+0.02), not systematic ≥0.15 like 18XX; adding would overfit and confound franchise popularity with quality. Keep as cleanup/screen check, not model. | counts: 3222 (21.92%), share_top5 5.0%, strong overlap 6/39 (15.4%) | CV ΔR² 0.0017 | Jaccard top1 0.921 top5 0.882 | beta 0.0938 SE 0.0112 folds +0.081 +0.101 +0.100 +0.094 +0.092",screening (family/series) - not quality model,"n=3222, mean_resid +0.066, delta 0.0017, Jaccard 0.921","NO_MODEL - keep as lineage screening, not additive Q3bFam"
C-series_wallet,series_wallet,"Series: Wallet & Box Micro Games (Button Shy) n=58 (n=58, mean_resid_Q3bFam +0.004 if n>0)","Series/game families show mixed residuals (e.g., series_any n maybe 400, mean resid ~+0.02), not systematic ≥0.15 like 18XX; adding would overfit and confound franchise popularity with quality. Keep as cleanup/screen check, not model. | counts: 58 (0.39%), share_top5 1.7%, strong overlap 0/39 (0.0%) | CV ΔR² -0.0001 | Jaccard top1 1.0 top5 1.0 | beta 0.0038 SE 0.0709 folds +0.064 -0.013 -0.042 -0.009 +0.024",screening (family/series) - not quality model,"n=58, mean_resid +0.004, delta -0.0001, Jaccard 1.0","NO_MODEL - keep as lineage screening, not additive Q3bFam"
C-series_unlock,series_unlock,"Series: Unlock! (Space Cowboys) n=47 (n=47, mean_resid_Q3bFam +0.217 if n>0)","Below n=50 gate; not candidate for additive fam flag. | counts: 47 (0.32%), share_top5 14.9%, strong overlap 1/39 (2.6%) | CV ΔR² 0.0002 | Jaccard top1 0.986 top5 0.981 | beta 0.2505 SE 0.0834 folds +0.241 +0.208 +0.232 +0.301 +0.275",screening / semantic cleanup,"n=47<50, mean_resid 0.2167, delta CV NA, Jaccard NA",NO_MODEL - below gate
C-series_exit,series_exit,"Series: EXIT: The Game n=36 (n=36, mean_resid_Q3bFam -0.099 if n>0)","Below n=50 gate; not candidate for additive fam flag. | counts: 36 (0.24%), share_top5 8.3%, strong overlap 0/39 (0.0%) | CV ΔR² 0.0 | Jaccard top1 1.0 top5 0.997 | beta -0.1083 SE 0.0928 folds -0.124 -0.083 -0.103 -0.134 -0.097",screening / semantic cleanup,"n=36<50, mean_resid -0.0987, delta CV NA, Jaccard NA",NO_MODEL - below gate
C-game_family,game_family,"any Game: family (franchise, e.g., Catan/Pandemic) (n=2740, mean_resid_Q3bFam +0.032 if n>0)","Series/game families show mixed residuals (e.g., series_any n maybe 400, mean resid ~+0.02), not systematic ≥0.15 like 18XX; adding would overfit and confound franchise popularity with quality. Keep as cleanup/screen check, not model. | counts: 2740 (18.64%), share_top5 7.6%, strong overlap 17/39 (43.6%) | CV ΔR² 0.0004 | Jaccard top1 0.921 top5 0.95 | beta 0.046 SE 0.0122 folds +0.046 +0.045 +0.052 +0.043 +0.045",screening (family/series) - not quality model,"n=2740, mean_resid +0.032, delta 0.0004, Jaccard 0.921","NO_MODEL - keep as lineage screening, not additive Q3bFam"
